Año,IMCO,,WEF,,DB,,IMD,
,Posición,Tamaño de muestra,Posición,Tamaño de muestra,Posición,Tamaño de muestra,Posición,Tamaño de muestra
2003,32,43,,,,,,
2004,32,43,,,,,,
2005,32,43,,,,,,
2006,32,43,52,122,62,155,,
2007,32,43,52,131,43,175,,
2008,32,43,60,134,42,178,,
2009,36,43,60,133,55,181,,
2010,35,43,66,139,41,183,47,59
2011,36,43,58,142,54,183,38,59
2012,36,43,53,144,53,182,37,59
2013,37,43,55,148,48,185,32,60
2014,36,43,61,144,53,188,41,60
2015,36,43,57,140,42,189,39,61
2016,,,51,138,38,189,45,61
2017,,,44,135,47,190,48,63
2018,,,46,140,49,190,51,63
2019,,,48,141,54,190,50,63
,,,,,60,190,53,63
